timestamp,device_id,facility_id,temperature,pressure,vibration,status,production_rate,quality_score
2025-11-07 09:42:12,SENSOR_004,FAC_SEA,20.62,98.65,1.36,NORMAL,94,87.69
2025-11-07 09:15:12,SENSOR_020,FAC_ATL,26.22,99.01,1.94,CRITICAL,119,95.6
2025-11-07 09:26:12,SENSOR_016,FAC_CHI,27.38,96.97,2.4,NORMAL,88,98.06
2025-11-07 09:05:12,SENSOR_013,FAC_DEN,22.04,103.98,0.52,WARNING,110,89.7
2025-11-07 09:18:12,SENSOR_009,FAC_SEA,25.85,95.47,1.78,NORMAL,113,95.1
2025-11-07 09:15:12,SENSOR_008,FAC_ATL,22.88,98.94,1.3,WARNING,110,87.18
2025-11-07 09:26:12,SENSOR_002,FAC_DEN,19.68,96.49,1.3,NORMAL,101,96.2
2025-11-07 09:28:12,SENSOR_014,FAC_ATL,22.55,98.31,1.68,NORMAL,107,89.7
2025-11-07 09:44:12,SENSOR_018,FAC_ATL,23.81,102.96,0.68,NORMAL,113,86.2
2025-11-07 09:27:12,SENSOR_012,FAC_CHI,21.91,98.58,0.24,NORMAL,106,86.77
2025-11-07 10:03:12,SENSOR_020,FAC_DEN,18.37,100.33,0.32,NORMAL,100,91.58
2025-11-07 10:45:12,SENSOR_018,FAC_ATL,21.13,98.33,2.17,NORMAL,118,92.71
2025-11-07 10:17:12,SENSOR_006,FAC_SEA,18.29,102.13,0.96,NORMAL,82,96.8
2025-11-07 10:07:12,SENSOR_019,FAC_ATL,20.05,103.28,1.46,NORMAL,86,97.76
2025-11-07 09:47:12,SENSOR_001,FAC_CHI,23.99,103.21,1.03,NORMAL,110,86.97
2025-11-07 09:47:12,SENSOR_008,FAC_CHI,24.65,103.61,0.85,NORMAL,118,91.21
2025-11-07 09:56:12,SENSOR_010,FAC_CHI,27.6,101.54,0.96,WARNING,88,89.9
2025-11-07 10:08:12,SENSOR_002,FAC_SEA,22.54,103.0,1.29,NORMAL,106,96.76
2025-11-07 10:42:12,SENSOR_015,FAC_ATL,23.35,95.4,0.16,WARNING,89,97.7
2025-11-07 09:58:12,SENSOR_014,FAC_DEN,25.34,99.17,1.72,NORMAL,89,90.4
2025-11-07 11:29:12,SENSOR_005,FAC_DEN,23.84,99.9,1.4,WARNING,109,98.39
2025-11-07 11:18:12,SENSOR_004,FAC_ATL,23.63,99.79,0.16,CRITICAL,113,85.78
2025-11-07 11:37:12,SENSOR_018,FAC_DEN,27.55,97.01,2.11,CRITICAL,86,97.91
2025-11-07 11:13:12,SENSOR_015,FAC_SEA,20.14,97.5,1.87,NORMAL,111,86.5
2025-11-07 11:30:12,SENSOR_013,FAC_ATL,20.82,101.67,0.24,CRITICAL,91,93.18
2025-11-07 11:03:12,SENSOR_007,FAC_CHI,18.54,104.33,1.98,NORMAL,94,88.16
2025-11-07 11:06:12,SENSOR_008,FAC_CHI,26.8,104.16,1.24,NORMAL,111,85.94
2025-11-07 11:39:12,SENSOR_011,FAC_CHI,20.94,95.07,1.88,NORMAL,111,85.32
2025-11-07 11:38:12,SENSOR_012,FAC_SEA,26.01,100.21,1.01,NORMAL,119,91.97
2025-11-07 11:41:12,SENSOR_016,FAC_ATL,23.96,101.46,1.93,NORMAL,110,85.34
2025-11-07 12:31:12,SENSOR_010,FAC_ATL,18.37,100.16,1.92,CRITICAL,100,99.4
2025-11-07 12:44:12,SENSOR_019,FAC_DEN,20.24,95.16,2.2,CRITICAL,94,92.39
2025-11-07 11:48:12,SENSOR_018,FAC_SEA,26.68,101.32,1.75,CRITICAL,113,98.38
2025-11-07 12:02:12,SENSOR_002,FAC_ATL,27.8,101.86,0.51,NORMAL,106,86.45
2025-11-07 11:53:12,SENSOR_014,FAC_DEN,18.67,102.8,1.39,WARNING,104,98.17
2025-11-07 12:31:12,SENSOR_006,FAC_ATL,24.25,103.62,0.48,NORMAL,81,90.73
2025-11-07 12:16:12,SENSOR_017,FAC_SEA,20.61,98.11,0.38,WARNING,105,90.45
2025-11-07 12:42:12,SENSOR_016,FAC_SEA,20.85,99.23,1.12,NORMAL,115,91.69
2025-11-07 12:38:12,SENSOR_013,FAC_CHI,20.22,98.96,0.87,NORMAL,118,89.79
2025-11-07 12:34:12,SENSOR_011,FAC_ATL,19.0,97.01,0.13,NORMAL,102,92.1
2025-11-07 13:39:12,SENSOR_018,FAC_SEA,20.21,101.28,0.9,NORMAL,116,88.64
